Sample number,Inside,Outside
Sample 1,52.46,48.69
Sample 2,50.01,49.02
Sample 3,55.57,53.86
Sample 4,49.81,54
Sample 5,54.65,58
Sample 6,58.42,55
Sample 7,55.92,62
Sample 8,58.42,46
Sample 9,55.89,47
Sample 10,51.19,39
Sample 11,50.3,40
Sample 12,52.96,27
Sample 13,51.48,22
Sample 14,46.39,57.12
Sample 15,42.76,56.32
Sample 16,44.21,51
Sample 17,53.81,60
Sample 18,47.77,52
Sample 19,55.49,51.62
Sample 20,48.32,53.74
Sample 21,49.22,54.68
Sample 22,46.17,50.81
Sample 23,50.09,52.23
Sample 24,55.84,52.03
Sample 25,49.02,52.49
Sample 26,55.11,51.02
Sample 27,55.71,54.66
Sample 28,53.06,52.74
Sample 29,47.26,53.01
Sample 30,52.91,53.86
Sample 31,21,38
Sample 32,30,12
Sample 33,36,19
Sample 34,26,27
Sample 35,18,28
Sample 36,31,38
Sample 37,28,37
Sample 38,27,40
Sample 39,53,44
Sample 40,49,28
Sample 41,45,10
Sample 42,53,9
Sample 43,49,11
Sample 44,26,10
Sample 45,42,10
Sample 46,28,10
Sample 47,45,21
Sample 48,42,49
Sample 49,54,50
Sample 50,40,47
Sample 51,50,50
Sample 52,51,51
Sample 53,50,52
Sample 54,55,52
Sample 55,70,51
Sample 56,54,42
Sample 57,52,44
Sample 58,57,51
Sample 59,54,51
Sample 60,51,51
Sample 61,48,49
Sample 62,54,48
Sample 63,52,48
Sample 64,50,48
Sample 65,51,49
Sample 66,40,36
Sample 67,46,47
Sample 68,44,49
Sample 69,43,50
Sample 70,37,51
